State,income,"
error",Year
Alabama,49936,2423,2018
Alabama,50865,1094,2017
Alabama,47221,2301,2016
Alabama,44509,3419,2015
Alabama,42278,1529,2014
Alabama,47320,5511,2013
Alabama,43464,2529,2012
Alabama,42590,2021,2011
Alabama,40933,2396,2010
Alabama,39980,904,2009
Alabama,44476,1659,2008
Alabama,42212,1420,2007
Alaska,68734,3390,2018
Alaska,77987,3718,2017
Alaska,75723,4086,2016
Alaska,75112,3485,2015
Alaska,67629,3153,2014
Alaska,72472,5446,2013
Alaska,63648,2839,2012
Alaska,57431,3710,2011
Alaska,57848,2390,2010
Alaska,61604,1751,2009
Alaska,63989,2302,2008
Alaska,62993,1583,2007
Arizona,62283,2291,2018
Arizona,59700,2689,2017
Arizona,57100,1971,2016
Arizona,52248,2008,2015
Arizona,49254,2304,2014
Arizona,52611,4365,2013
Arizona,47044,2922,2012
Arizona,48621,2424,2011
Arizona,46896,2227,2010
Arizona,45739,1241,2009
Arizona,46914,1125,2008
Arizona,47215,1555,2007
Arkansas,49781,2108,2018
Arkansas,49751,2491,2017
Arkansas,45907,2165,2016
Arkansas,42798,1572,2015
Arkansas,44922,2546,2014
Arkansas,39376,2402,2013
Arkansas,39018,2812,2012
Arkansas,41302,1849,2011
Arkansas,38587,2464,2010
Arkansas,36538,909,2009
Arkansas,39586,1194,2008
Arkansas,40795,1348,2007
California,70489,1233,2018
California,70038,1576,2017
California,66637,1075,2016
California,63636,1711,2015
California,60487,894,2014
California,60794,1811,2013
California,57020,1238,2012
California,53367,1378,2011
California,54283,1182,2010
California,56134,619,2009
California,57014,829,2008
California,55734,618,2007
Colorado,73034,3562,2018
Colorado,74984,2661,2017
Colorado,70566,4125,2016
Colorado,66596,3682,2015
Colorado,60940,2414,2014
Colorado,67912,4129,2013
Colorado,57255,2708,2012
Colorado,58629,2553,2011
Colorado,60233,2481,2010
Colorado,55930,1595,2009
Colorado,60943,1898,2008
Colorado,61141,1014,2007
Connecticut,72812,5119,2018
Connecticut,74304,3453,2017
Connecticut,75923,3404,2016
Connecticut,72889,4449,2015
Connecticut,70161,2665,2014
Connecticut,69291,3238,2013
Connecticut,64247,2853,2012
Connecticut,65415,3014,2011
Connecticut,65998,2095,2010
Connecticut,64851,2308,2009
Connecticut,64682,2701,2008
Connecticut,64141,2049,2007
D.C.,85750,2659,2018
D.C.,81282,1903,2017
D.C.,70982,2734,2016
D.C.,70071,2861,2015
D.C.,68277,4402,2014
D.C.,60057,5529,2013
D.C.,65246,3671,2012
D.C.,55251,2109,2011
D.C.,56928,3333,2010
D.C.,53141,2088,2009
D.C.,55590,1763,2008
D.C.,50783,1097,2007
Delaware,65012,3599,2018
Delaware,64961,5230,2017
Delaware,58046,2992,2016
Delaware,57756,3392,2015
Delaware,57522,2970,2014
Delaware,54091,4350,2013
Delaware,48972,1976,2012
Delaware,54660,1745,2011
Delaware,55214,2255,2010
Delaware,52114,1781,2009
Delaware,50702,1388,2008
Delaware,54589,2159,2007
Florida,54644,1887,2018
Florida,53086,1438,2017
Florida,51176,835,2016
Florida,48825,1395,2015
Florida,46140,950,2014
Florida,48532,2815,2013
Florida,46071,1110,2012
Florida,45105,1138,2011
Florida,44066,1544,2010
Florida,45631,706,2009
Florida,44857,858,2008
Florida,45794,570,2007
Georgia,55821,2032,2018
Georgia,57985,2288,2017
Georgia,53527,1679,2016
Georgia,50768,1401,2015
Georgia,49555,2009,2014
Georgia,46992,4236,2013
Georgia,48121,1504,2012
Georgia,45973,2483,2011
Georgia,44117,1822,2010
Georgia,43340,1256,2009
Georgia,46227,1164,2008
Georgia,48641,1078,2007
Hawaii,80108,3482,2018
Hawaii,73599,2352,2017
Hawaii,72133,2510,2016
Hawaii,64514,2840,2015
Hawaii,71223,2676,2014
Hawaii,64235,3918,2013
Hawaii,56263,2255,2012
Hawaii,59047,2531,2011
Hawaii,59539,2731,2010
Hawaii,55649,2023,2009
Hawaii,61521,1481,2008
Hawaii,64022,2125,2007
Idaho,58728,2405,2018
Idaho,59497,2259,2017
Idaho,56564,1261,2016
Idaho,51624,1260,2015
Idaho,53438,2572,2014
Idaho,48467,5484,2013
Idaho,47922,3173,2012
Idaho,47459,3488,2011
Idaho,47050,1869,2010
Idaho,46778,1264,2009
Idaho,47420,1681,2008
Idaho,49184,1291,2007
Illinois,70145,2253,2018
Illinois,65969,1667,2017
