State,Year,Population,number,rate
UnitedStatesTotal,2007,301621157,"1,408,337",466.9
UnitedStatesTotal,2008,304059724,"1,382,012",454.5
UnitedStatesTotal,2009,307006550,"1,325,896",431.9
UnitedStatesTotal,2010,308745538,"1,246,248",403.6
UnitedStatesTotal,2011,311587816,"1,206,031",387.1
UnitedStatesTotal,2012,313914040,"1,214,464",386.9
UnitedStatesTotal,2013,316497531,"1,199,684",379.1
UnitedStatesTotal,2014,318857056,"1,197,987",375.7
UnitedStatesTotal,2015,320896618,"1,234,183",384.6
UnitedStatesTotal,2016,323127513,"1,283,058",397.1
UnitedStatesTotal,2017,325147121,"1,283,875",394.9
UnitedStatesTotal,2018,327167434,"1,245,065",380.6
Connecticut,2007,3502309,"8,965",256
Connecticut,2008,3501252,"10,427",297.8
Connecticut,2009,3518288,"10,588",300.9
Connecticut,2010,3574097,"10,057",281.4
Connecticut,2011,3586717,"9,889",275.7
Connecticut,2012,3590347,"10,160",283
Connecticut,2013,3599341,"9,439",262.2
Connecticut,2014,3596677,"8,522",236.9
Connecticut,2015,3584730,"7,938",221.4
Connecticut,2016,3576452,"8,123",227.1
Connecticut,2017,3573880,"8,190",229.2
Connecticut,2018,3572665,"7,411",207.4
Maine,2007,1317207,"1,554",118
Maine,2008,1316456,"1,547",117.5
Maine,2009,1318301,"1,580",119.9
Maine,2010,1328361,"1,621",122
Maine,2011,1328544,"1,638",123.3
Maine,2012,1329192,"1,631",122.7
Maine,2013,1328702,"1,761",132.5
Maine,2014,1330089,"1,700",127.8
Maine,2015,1329453,"1,726",129.8
Maine,2016,1331479,"1,648",123.8
Maine,2017,1335063,"1,610",120.6
Maine,2018,1338404,"1,501",112.1
Massachusetts,2007,6449755,"27,832",431.5
Massachusetts,2008,6497967,"29,174",449
Massachusetts,2009,6593587,"30,503",462.6
Massachusetts,2010,6547629,"30,553",466.6
Massachusetts,2011,6607003,"28,232",427.3
Massachusetts,2012,6646144,"26,953",405.5
Massachusetts,2013,6708874,"27,264",406.4
Massachusetts,2014,6745408,"26,399",391.4
Massachusetts,2015,6784240,"26,453",389.9
Massachusetts,2016,6811779,"25,677",376.9
Massachusetts,2017,6863246,"24,318",354.3
Massachusetts,2018,6902149,"23,337",338.1
New Hampshire,2007,1315828,"1,807",137.3
New Hampshire,2008,1315809,"2,069",157.2
New Hampshire,2009,1324575,"2,125",160.4
New Hampshire,2010,1316470,"2,198",167
New Hampshire,2011,1317807,"2,864",217.3
New Hampshire,2012,1320718,"2,481",187.9
New Hampshire,2013,1322616,"2,952",223.2
New Hampshire,2014,1326813,"2,602",196.1
New Hampshire,2015,1330111,"2,692",202.4
New Hampshire,2016,1334795,"2,637",197.6
New Hampshire,2017,1349767,"2,642",195.7
New Hampshire,2018,1356458,"2,349",173.2
Rhode Island,2007,1057832,"2,404",227.3
Rhode Island,2008,1050788,"2,621",249.4
Rhode Island,2009,1053209,"2,678",254.3
Rhode Island,2010,1052567,"2,701",256.6
Rhode Island,2011,1050646,"2,586",246.1
Rhode Island,2012,1050292,"2,651",252.4
Rhode Island,2013,1053354,"2,710",257.3
Rhode Island,2014,1055173,"2,313",219.2
Rhode Island,2015,1055607,"2,565",243
Rhode Island,2016,1056426,"2,524",238.9
Rhode Island,2017,1056486,"2,474",234.2
Rhode Island,2018,1057315,"2,317",219.1
Vermont,2007,621254,772,124.3
Vermont,2008,621270,844,135.9
Vermont,2009,621760,837,134.6
Vermont,2010,625741,815,130.2
Vermont,2011,626592,925,147.6
Vermont,2012,626011,893,142.6
Vermont,2013,626855,775,123.6
Vermont,2014,626562,622,99.3
Vermont,2015,626088,747,119.3
Vermont,2016,624594,989,158.3
Vermont,2017,624525,"1,082",173.3
Vermont,2018,626299,"1,077",172
New Jersey,2007,8685920,"28,601",329.3
New Jersey,2008,8682661,"28,351",326.5
New Jersey,2009,8707739,"27,113",311.4
New Jersey,2010,8791894,"27,055",307.7
